model_name,dataset_name,prompt_type,strategy,sampling_method,lang,sari_method,BLEU,SARI,FKGL,FRE,BERTScore-F1,MeaningBERT
mixtral_latest,plaba,iso,few,metric,en,standard,12.09,36.84,11.25,46.28,0.887,73.59
mixtral_latest,plaba,iso,few,random,en,standard,14.9,38.98,12.02,42.76,0.8921,75.63
mixtral_latest,plaba,iso,one,,en,standard,11.3,37.18,10.44,49.95,0.8848,69.96
mixtral_latest,plaba,iso,zero,,en,standard,8.93,35.04,10.72,45.85,0.8784,70.77
mixtral_latest,plaba,minimal,few,metric,en,standard,12.39,38.22,11.67,45.67,0.8899,72.83
mixtral_latest,plaba,minimal,few,random,en,standard,13.42,38.68,11.71,45.39,0.8898,74.28
mixtral_latest,plaba,minimal,one,,en,standard,10.5,36.75,10.76,49.45,0.8839,70.7
mixtral_latest,plaba,minimal,zero,,en,standard,12.84,38.03,11.32,45.76,0.8879,73.42
mixtral_latest,tsar2025,iso_examples,few,metric,en,standard,34.44,48.62,8.19,63.22,0.9418,84.5
mixtral_latest,tsar2025,iso_examples,few,random,en,standard,34.79,48.67,8.39,62.8,0.9424,84.77
mixtral_latest,tsar2025,iso_examples,one,,en,standard,34.08,47.95,8.58,61.69,0.9429,83.96
mixtral_latest,tsar2025,iso_examples,zero,,en,standard,32.54,47.5,8.46,61.12,0.9415,85.18
mixtral_latest,tsar2025,iso,few,metric,en,standard,32.17,47.73,7.84,65.89,0.9368,81.15
mixtral_latest,tsar2025,iso,few,random,en,standard,33.21,48.16,8.21,63.69,0.9386,81.79
mixtral_latest,tsar2025,iso,one,,en,standard,31.44,47.53,8.45,62.02,0.9378,82.42
mixtral_latest,tsar2025,iso,zero,,en,standard,23.47,43.98,8.7,57.7,0.9292,81.13
mixtral_latest,tsar2025,minimal,few,metric,en,standard,33.3,49.28,8.0,66.5,0.9378,80.62
mixtral_latest,tsar2025,minimal,few,random,en,standard,32.3,48.4,8.37,64.65,0.9361,81.1
mixtral_latest,tsar2025,minimal,one,,en,standard,32.89,48.48,8.86,61.74,0.939,82.47
mixtral_latest,tsar2025,minimal,zero,,en,standard,31.31,47.66,8.16,63.9,0.9348,80.74
