"model","dataset","prompt","setting","example_selection","n","length_n","length_pct","stop_n","other_done_n","avg_wall_time_s","avg_prompt_tokens","avg_generated_tokens","max_generated_tokens","avg_eval_tokens_per_s","avg_output_words","max_output_words","outputs_gt_500_words","outputs_gt_900_words","outputs_gt_1600_words","file"
"Llama 3.1 8B","tsar2025","iso","one","-","100","0","0","100","0","3,32","1178,03","88,74","163","102,88","73,28","122","0","0","0","outputs/llama_512/predictions_llama3_1_8b_tsar2025_iso_one.csv"
"Llama 3.1 8B","tsar2025","iso","few","random","100","0","0","100","0","3,34","1478,03","88,86","148","101,39","73,74","121","0","0","0","outputs/llama_512/predictions_llama3_1_8b_tsar2025_iso_few_random.csv"
"Llama 3.1 8B","tsar2025","iso","few","metric","100","0","0","100","0","3,3","1582,03","84,38","135","101,17","69,95","114","0","0","0","outputs/llama_512/predictions_llama3_1_8b_tsar2025_iso_few_metric.csv"
"Llama 3.1 8B","tsar2025","iso_examples","zero","-","100","0","0","100","0","3,31","3242,03","82,7","148","97,24","68,27","125","0","0","0","outputs/llama_512/predictions_llama3_1_8b_tsar2025_iso_examples_zero.csv"
"Llama 3.1 8B","tsar2025","iso_examples","one","-","100","0","0","100","0","3,38","3548,03","87,03","354","96,36","71,93","292","0","0","0","outputs/llama_512/predictions_llama3_1_8b_tsar2025_iso_examples_one.csv"
"Llama 3.1 8B","tsar2025","iso_examples","few","random","100","0","0","100","0","3,47","3847,03","95,3","166","94,98","79,01","140","0","0","0","outputs/llama_512/predictions_llama3_1_8b_tsar2025_iso_examples_few_random.csv"
"Llama 3.1 8B","tsar2025","iso_examples","few","metric","100","0","0","100","0","3,41","3951,03","89,56","149","95,34","73,93","127","0","0","0","outputs/llama_512/predictions_llama3_1_8b_tsar2025_iso_examples_few_metric.csv"
"Mixtral 8x7B","cochrane","minimal","zero","-","125","6","4,8","119","0","99,4","748,46","307,85","512","3,4","196,97","340","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_cochrane_minimal_zero.csv"
"Mixtral 8x7B","cochrane","minimal","one","-","125","1","0,8","124","0","82,19","1188,46","241,36","512","3,33","165,14","322","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_cochrane_minimal_one.csv"
"Mixtral 8x7B","cochrane","minimal","few","random","125","1","0,8","124","0","99","2514,46","246,08","512","2,9","166,29","336","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_cochrane_minimal_few_random.csv"
"Mixtral 8x7B","cochrane","minimal","few","metric","125","2","1,6","123","0","99,54","2593,46","246,72","512","2,88","167,94","356","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_cochrane_minimal_few_metric.csv"
"Mixtral 8x7B","cochrane","iso","zero","-","125","7","5,6","118","0","103,99","1486,46","285,97","512","3,1","172,82","325","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_cochrane_iso_zero.csv"
"Mixtral 8x7B","cochrane","iso","one","-","125","4","3,2","121","0","92,15","1936,46","240,5","512","3,02","160,61","353","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_cochrane_iso_one.csv"
"Mixtral 8x7B","cochrane","iso","few","random","125","5","4","120","0","106,42","3261,46","246,34","512","2,73","163,99","349","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_cochrane_iso_few_random.csv"
"Mixtral 8x7B","cochrane","iso","few","metric","125","2","1,6","123","0","106,57","3340,46","241,32","512","2,66","162,83","341","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_cochrane_iso_few_metric.csv"
"Mixtral 8x7B","cochrane","iso_examples","zero","-","125","29","23,2","96","0","144,83","4309,46","316,9","512","2,53","192,54","408","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_cochrane_iso_examples_zero.csv"
"Mixtral 8x7B","cochrane","iso_examples","one","-","125","8","6,4","117","0","127,18","4760,46","266,5","512","2,5","174,41","364","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_cochrane_iso_examples_one.csv"
"Mixtral 8x7B","cochrane","iso_examples","few","random","125","12","9,6","113","0","138,35","6083,46","274,09","512","2,43","174,52","353","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_cochrane_iso_examples_few_random.csv"
"Mixtral 8x7B","cochrane","iso_examples","few","metric","125","10","8","115","0","129,45","6163,46","260,22","512","2,54","171,16","382","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_cochrane_iso_examples_few_metric.csv"
"Mixtral 8x7B","plaba","minimal","zero","-","148","1","0,68","147","0","82,49","529,8","257,38","512","3,34","156,92","319","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_plaba_minimal_zero.csv"
"Mixtral 8x7B","plaba","minimal","one","-","148","0","0","148","0","73,28","1389,8","212,51","448","3,19","134,98","255","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_plaba_minimal_one.csv"
"Mixtral 8x7B","plaba","minimal","few","random","148","1","0,68","147","0","91,21","3003,8","238,41","512","2,9","152,18","331","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_plaba_minimal_few_random.csv"
"Mixtral 8x7B","plaba","minimal","few","metric","148","2","1,35","146","0","89,72","3318,8","229,2","512","2,85","147,03","276","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_plaba_minimal_few_metric.csv"
"Mixtral 8x7B","plaba","iso","zero","-","148","0","0","148","0","75,39","1267,8","219,58","479","3,19","126,64","249","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_plaba_iso_zero.csv"
"Mixtral 8x7B","plaba","iso","one","-","148","0","0","148","0","78,43","2136,8","216,8","474","3,07","136,6","303","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_plaba_iso_one.csv"
"Mixtral 8x7B","plaba","iso","few","random","148","2","1,35","146","0","99,96","3749,8","249,83","512","2,78","156,07","307","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_plaba_iso_few_random.csv"
"Mixtral 8x7B","plaba","iso","few","metric","148","1","0,68","147","0","94,99","4065,8","230,69","512","2,74","143,24","337","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_plaba_iso_few_metric.csv"
"Mixtral 8x7B","plaba","iso_examples","zero","-","148","7","4,73","141","0","103,62","4090,8","253,16","512","2,73","147,64","326","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_plaba_iso_examples_zero.csv"
"Mixtral 8x7B","plaba","iso_examples","one","-","148","0","0","148","0","101,45","4959,8","234,22","511","2,63","143,19","323","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_plaba_iso_examples_one.csv"
"Mixtral 8x7B","plaba","iso_examples","few","random","148","2","1,35","146","0","120,45","6572,8","255,59","512","2,41","157,07","323","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_plaba_iso_examples_few_random.csv"
"Mixtral 8x7B","plaba","iso_examples","few","metric","148","4","2,7","144","0","123,52","6888,8","251,78","512","2,33","154,7","378","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_plaba_iso_examples_few_metric.csv"
"Mixtral 8x7B","tsar2025","minimal","zero","-","100","0","0","100","0","30,03","273,79","92,23","163","3,54","69,28","120","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_tsar2025_minimal_zero.csv"
